Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Date_new,month,Day_Perc_Change,Trend
HDFCBANK,EQ,15-May-2017,1551.65,1550.0,1557.2,1542.25,       1553.00,1553.4,1550.73,701195,1087367599.8,15104,309282,44.11,2017-05-15,May-2017,0.0,Slight or No Change
HDFCBANK,EQ,16-May-2017,1553.4,1555.0,1562.0,1548.25,       1561.85,1559.65,1555.11,897594,1395856787.25,21073,347734,38.74,2017-05-16,May-2017,0.4023432470709354,Slight or No Change
HDFCBANK,EQ,17-May-2017,1559.65,1558.8,1565.4,1551.5,       1557.50,1557.15,1557.51,868118,1352102516.9,32732,367931,42.38,2017-05-17,May-2017,-0.1602923732888839,Slight or No Change
HDFCBANK,EQ,18-May-2017,1557.15,1549.0,1561.5,1548.1,       1557.50,1557.1,1556.99,776820,1209499656.15,13648,518101,66.7,2017-05-18,May-2017,-0.0032109944449909555,Slight or No Change
HDFCBANK,EQ,19-May-2017,1557.1,1559.5,1569.9,1545.25,       1568.05,1561.25,1556.93,713534,1110925609.25,18458,296680,41.58,2017-05-19,May-2017,0.2665210969109211,Slight or No Change
HDFCBANK,EQ,22-May-2017,1561.25,1565.1,1580.0,1563.1,       1579.00,1576.0,1572.46,715013,1124331912.15,24974,413491,57.83,2017-05-22,May-2017,0.9447558046437043,Slight Positive
HDFCBANK,EQ,23-May-2017,1576.0,1580.0,1583.55,1565.0,       1569.00,1569.1,1575.09,770043,1212889747.95,17873,489628,63.58,2017-05-23,May-2017,-0.4378172588832552,Slight or No Change
HDFCBANK,EQ,24-May-2017,1569.1,1569.05,1575.45,1562.0,       1567.00,1566.75,1566.76,866847,1358143699.6,34901,615909,71.05,2017-05-24,May-2017,-0.14976738257599376,Slight or No Change
HDFCBANK,EQ,25-May-2017,1566.75,1567.1,1629.4,1567.1,       1613.25,1617.15,1605.26,5022701,8062757340.0,60075,3585041,71.38,2017-05-25,May-2017,3.216850167544294,Among Top Gainers
HDFCBANK,EQ,26-May-2017,1617.15,1606.65,1632.0,1601.1,       1623.00,1626.0,1617.56,1360789,2201159155.0,31085,754482,55.44,2017-05-26,May-2017,0.5472590668769151,Slight Positive
HDFCBANK,EQ,29-May-2017,1626.0,1619.8,1648.0,1617.65,       1626.65,1631.9,1634.94,1479085,2418209870.85,48257,924191,62.48,2017-05-29,May-2017,0.3628536285362971,Slight or No Change
HDFCBANK,EQ,30-May-2017,1631.9,1630.0,1633.5,1616.15,       1631.40,1629.05,1622.75,1108546,1798890005.0,26377,592343,53.43,2017-05-30,May-2017,-0.17464305410871406,Slight or No Change
HDFCBANK,EQ,31-May-2017,1629.05,1625.0,1643.0,1623.15,       1640.00,1636.2,1631.48,1329728,2169429926.8,18717,926698,69.69,2017-05-31,May-2017,0.4389061109235426,Slight or No Change
HDFCBANK,EQ,01-Jun-2017,1636.2,1639.0,1639.85,1620.55,       1627.00,1628.6,1630.91,839885,1369779680.1,21114,481729,57.36,2017-06-01,Jun-2017,-0.4644908935338088,Slight or No Change
