Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,month,Day_Perc_Change,Trend,ave,upper,lower
2017-05-15,HDFCBANK,EQ,1551.65,1550.0,1557.2,1542.25,1553.0,1553.4,1550.73,701195,1087367599.8,15104,309282,44.11,May-2017,0.0,Slight or No Change,,,
2017-05-16,HDFCBANK,EQ,1553.4,1555.0,1562.0,1548.25,1561.85,1559.65,1555.11,897594,1395856787.25,21073,347734,38.74,May-2017,0.4023432470709354,Slight or No Change,,,
2017-05-17,HDFCBANK,EQ,1559.65,1558.8,1565.4,1551.5,1557.5,1557.15,1557.51,868118,1352102516.9,32732,367931,42.38,May-2017,-0.1602923732888839,Slight or No Change,,,
2017-05-18,HDFCBANK,EQ,1557.15,1549.0,1561.5,1548.1,1557.5,1557.1,1556.99,776820,1209499656.15,13648,518101,66.7,May-2017,-0.0032109944449909555,Slight or No Change,,,
2017-05-19,HDFCBANK,EQ,1557.1,1559.5,1569.9,1545.25,1568.05,1561.25,1556.93,713534,1110925609.25,18458,296680,41.58,May-2017,0.2665210969109211,Slight or No Change,,,
2017-05-22,HDFCBANK,EQ,1561.25,1565.1,1580.0,1563.1,1579.0,1576.0,1572.46,715013,1124331912.15,24974,413491,57.83,May-2017,0.9447558046437045,Slight Positive,,,
2017-05-23,HDFCBANK,EQ,1576.0,1580.0,1583.55,1565.0,1569.0,1569.1,1575.09,770043,1212889747.95,17873,489628,63.58,May-2017,-0.4378172588832552,Slight or No Change,,,
2017-05-24,HDFCBANK,EQ,1569.1,1569.05,1575.45,1562.0,1567.0,1566.75,1566.76,866847,1358143699.6,34901,615909,71.05,May-2017,-0.14976738257599376,Slight or No Change,,,
2017-05-25,HDFCBANK,EQ,1566.75,1567.1,1629.4,1567.1,1613.25,1617.15,1605.26,5022701,8062757340.0,60075,3585041,71.38,May-2017,3.216850167544294,Among Top Gainers,,,
2017-05-26,HDFCBANK,EQ,1617.15,1606.65,1632.0,1601.1,1623.0,1626.0,1617.56,1360789,2201159155.0,31085,754482,55.44,May-2017,0.5472590668769151,Slight Positive,,,
2017-05-29,HDFCBANK,EQ,1626.0,1619.8,1648.0,1617.65,1626.65,1631.9,1634.94,1479085,2418209870.85,48257,924191,62.48,May-2017,0.3628536285362971,Slight or No Change,,,
2017-05-30,HDFCBANK,EQ,1631.9,1630.0,1633.5,1616.15,1631.4,1629.05,1622.75,1108546,1798890005.0,26377,592343,53.43,May-2017,-0.17464305410871406,Slight or No Change,,,
2017-05-31,HDFCBANK,EQ,1629.05,1625.0,1643.0,1623.15,1640.0,1636.2,1631.48,1329728,2169429926.8,18717,926698,69.69,May-2017,0.4389061109235426,Slight or No Change,,,
2017-06-01,HDFCBANK,EQ,1636.2,1639.0,1639.85,1620.55,1627.0,1628.6,1630.91,839885,1369779680.1,21114,481729,57.36,Jun-2017,-0.4644908935338088,Slight or No Change,1590.664,1659.398,1521.931
2017-06-02,HDFCBANK,EQ,1628.6,1634.0,1646.1,1626.2,1631.85,1634.25,1636.04,803386,1314369622.75,17867,390838,48.65,Jun-2017,0.3469237381800383,Slight or No Change,1596.439,1665.272,1527.607
2017-06-05,HDFCBANK,EQ,1634.25,1633.7,1638.95,1625.0,1638.5,1635.55,1633.27,724975,1184083532.85,14700,327218,45.14,Jun-2017,0.0795471929019298,Slight or No Change,1601.861,1670.165,1533.556
2017-06-06,HDFCBANK,EQ,1635.55,1635.0,1643.8,1630.0,1639.0,1638.95,1638.5,1250658,2049200642.3,14396,921531,73.68,Jun-2017,0.20788114090062315,Slight or No Change,1607.704,1673.481,1541.927
2017-06-07,HDFCBANK,EQ,1638.95,1640.4,1644.9,1630.35,1641.3,1640.8,1638.26,638569,1046138986.8,28344,447948,70.15,Jun-2017,0.11287714695382699,Slight or No Change,1613.682,1674.688,1552.676
2017-06-08,HDFCBANK,EQ,1640.8,1643.9,1659.4,1641.65,1643.6,1644.75,1648.3,1062192,1750808057.65,25728,582580,54.85,Jun-2017,0.24073622623110855,Slight or No Change,1619.646,1674.598,1564.695
2017-06-09,HDFCBANK,EQ,1644.75,1640.1,1670.0,1640.1,1669.9,1666.8,1660.39,1326318,2202209561.65,41645,878389,66.23,Jun-2017,1.3406292749657878,Positve,1626.132,1680.321,1571.943
2017-06-12,HDFCBANK,EQ,1666.8,1664.0,1676.0,1660.0,1666.0,1668.75,1666.54,992853,1654628890.15,40006,658975,66.37,Jun-2017,0.11699064074874865,Slight or No Change,1633.25,1680.96,1585.54
2017-06-13,HDFCBANK,EQ,1668.75,1661.75,1691.9,1661.0,1674.0,1676.7,1680.14,1262905,2121860290.15,37080,831771,65.86,Jun-2017,0.4764044943820212,Slight or No Change,1641.104,1676.185,1606.022
2017-06-14,HDFCBANK,EQ,1676.7,1675.0,1679.95,1667.0,1672.85,1671.2,1672.03,964590,1612824040.55,27840,714323,74.05,Jun-2017,-0.3280252877676415,Slight or No Change,1644.964,1680.583,1609.346
2017-06-15,HDFCBANK,EQ,1671.2,1668.0,1675.6,1653.6,1665.0,1664.35,1662.08,881673,1465414452.25,17284,530656,60.19,Jun-2017,-0.4098851124940239,Slight or No Change,1647.704,1682.936,1612.471
2017-06-16,HDFCBANK,EQ,1664.35,1665.0,1674.7,1658.1,1667.0,1669.25,1665.86,938776,1563872404.55,18765,583858,62.19,Jun-2017,0.2944092288280853,Slight or No Change,1650.371,1686.102,1614.641
2017-06-19,HDFCBANK,EQ,1669.25,1671.0,1696.0,1668.4,1690.7,1692.9,1683.38,956383,1609958237.65,26370,581131,60.76,Jun-2017,1.4168039538715147,Positve,1654.932,1694.978,1614.886
2017-06-20,HDFCBANK,EQ,1692.9,1690.0,1694.0,1679.85,1681.55,1686.55,1686.31,915066,1543084685.5,22817,675274,73.8,Jun-2017,-0.3750959891310801,Slight or No Change,1658.529,1700.333,1616.724
2017-06-21,HDFCBANK,EQ,1686.55,1682.6,1701.25,1679.6,1696.9,1698.7,1692.56,852733,1443298486.5,13383,435777,51.1,Jun-2017,0.7204055616495175,Slight Positive,1663.536,1706.67,1620.402
2017-06-22,HDFCBANK,EQ,1698.7,1694.95,1716.0,1691.2,1699.0,1698.0,1705.36,1668865,2846016910.1,47395,870934,52.19,Jun-2017,-0.04120798257490898,Slight or No Change,1668.089,1711.365,1624.813
2017-06-23,HDFCBANK,EQ,1698.0,1702.0,1702.75,1675.2,1681.1,1678.65,1684.39,1304367,2197062163.5,40032,835308,64.04,Jun-2017,-1.1395759717314435,Negative,1671.168,1710.417,1631.919
2017-06-27,HDFCBANK,EQ,1678.65,1689.0,1695.0,1656.25,1667.55,1667.65,1673.41,1500108,2510290432.5,41978,966813,64.45,Jun-2017,-0.6552884758585731,Slight Negative,1673.218,1707.957,1638.478
2017-06-28,HDFCBANK,EQ,1667.65,1665.0,1675.0,1657.8,1666.5,1666.45,1666.08,1112259,1853114829.75,33276,759351,68.27,Jun-2017,-0.07195754504842887,Slight or No Change,1675.05,1704.767,1645.333
2017-06-29,HDFCBANK,EQ,1666.45,1667.0,1681.9,1651.1,1655.0,1663.05,1666.21,2296927,3827159036.6,41505,1515335,65.97,Jun-2017,-0.2040265234480532,Slight or No Change,1676.357,1701.607,1651.107
2017-06-30,HDFCBANK,EQ,1663.05,1653.8,1660.0,1643.0,1654.85,1652.05,1654.33,1082608,1790989876.0,20154,686217,63.39,Jun-2017,-0.6614353146327523,Slight Negative,1675.304,1703.348,1647.259
2017-07-03,HDFCBANK,EQ,1652.05,1652.6,1667.5,1647.25,1660.0,1658.6,1658.07,876083,1452603241.7,29692,555332,63.39,Jul-2017,0.3964771042038739,Slight or No Change,1674.579,1703.85,1645.307
2017-07-04,HDFCBANK,EQ,1658.6,1660.25,1666.7,1652.0,1653.0,1653.35,1656.45,941520,1559578817.2,29651,629966,66.91,Jul-2017,-0.3165320149523643,Slight or No Change,1672.911,1704.25,1641.572
2017-07-05,HDFCBANK,EQ,1653.35,1653.1,1659.5,1645.0,1647.15,1648.75,1651.02,1003550,1656877513.35,33969,745305,74.27,Jul-2017,-0.2782230017842502,Slight or No Change,1671.307,1705.215,1637.399
2017-07-06,HDFCBANK,EQ,1648.75,1652.55,1663.0,1651.35,1658.95,1658.15,1658.74,1142919,1895807617.7,36276,826102,72.28,Jul-2017,0.5701288855193276,Slight Positive,1670.864,1705.322,1636.407
2017-07-07,HDFCBANK,EQ,1658.15,1660.85,1669.6,1658.0,1665.0,1667.2,1663.38,1379349,2294376290.9,34523,989181,71.71,Jul-2017,0.5457889816964601,Slight Positive,1670.718,1705.222,1636.214
2017-07-10,HDFCBANK,EQ,1667.2,1670.7,1748.0,1661.05,1674.0,1676.35,1674.39,334769,560535368.7,6377,189620,56.64,Jul-2017,0.5488243761996081,Slight Positive,1669.536,1701.829,1637.242
2017-07-11,HDFCBANK,EQ,1676.35,1677.55,1690.8,1667.1,1676.15,1680.4,1681.6,1102570,1854082214.5,46609,683669,62.01,Jul-2017,0.2415963253497244,Slight or No Change,1669.096,1700.549,1637.643
2017-07-12,HDFCBANK,EQ,1680.4,1680.0,1685.0,1658.55,1680.55,1681.25,1675.45,1434723,2403800089.65,39173,807682,56.3,Jul-2017,0.05058319447750481,Slight or No Change,1667.85,1695.389,1640.311
2017-07-13,HDFCBANK,EQ,1681.25,1688.0,1693.3,1679.65,1681.05,1683.55,1687.47,1120251,1890389586.05,38013,794284,70.9,Jul-2017,0.13680297397768992,Slight or No Change,1666.818,1690.269,1643.367
2017-07-14,HDFCBANK,EQ,1683.55,1683.9,1686.05,1672.0,1682.0,1679.95,1677.65,610813,1024730172.4,19545,245408,40.18,Jul-2017,-0.2138338629681269,Slight or No Change,1666.911,1690.573,1643.249
2017-07-17,HDFCBANK,EQ,1679.95,1682.55,1687.65,1677.0,1685.0,1682.35,1681.96,599835,1008899560.35,15125,382911,63.84,Jul-2017,0.1428613946843571,Slight or No Change,1667.961,1693.027,1642.894
